Designator,Mid X,Mid Y,Rotation,Layer
A1,101.36,-78.429182,0.0,top
A2,101.25,-103.01,0.0,top
A3,101.25,-127.67,0.0,top
A4,138.6,-83.63,270.0,top
A5,163.24,-83.63,270.0,top
A6,187.85,-83.63,270.0,top
C1,88.85,-84.589182,90.0,top
C10,151.0,-71.0,90.0,top
C11,175.5,-71.0,90.0,top
C12,200.5,-71.0,90.0,top
C13,115.5,-132.5,90.0,top
C14,197.45,-99.25,270.0,top
C2,88.6,-109.17,90.0,top
C3,88.6,-133.83,90.0,top
C4,132.44,-70.62,0.0,top
C5,157.08,-70.62,0.0,top
C6,181.69,-70.62,0.0,top
C7,88.98,-66.12,180.0,top
C8,88.98,-90.87,180.0,top
C9,88.98,-115.62,180.0,top
J1,88.85,-73.489182,90.0,top
J11,177.5,-116.77,90.0,top
J12,177.5,-123.27,90.0,top
J13,177.5,-129.77,90.0,top
J14,177.5,-136.27,90.0,top
J15,177.5,-110.27,90.0,top
J16,177.5,-103.77,90.0,top
J17,188.23,-105.5,0.0,top
J18,164.73,-136.5,0.0,top
J2,88.85,-98.18,90.0,top
J3,88.85,-122.88,90.0,top
J4,143.41,-70.87,0.0,top
J5,168.04,-70.87,0.0,top
J6,192.79,-70.87,0.0,top
J7,198.0,-112.5,90.0,top
J8,198.1725,-126.0,90.0,top
R1,164.775,-113.5,180.0,top
R2,124.35,-87.845,270.0,top
R3,120.85,-87.845,270.0,top
R4,117.35,-87.845,270.0,top
R5,164.775,-118.5,180.0,top
R6,164.775,-123.5,180.0,top
R7,164.775,-128.5,180.0,top
R8,165.225,-108.5,0.0,top
R9,165.225,-103.5,0.0,top
SW1,121.19,-75.69,180.0,top
U2,133.0,-118.46,0.0,top
